iter	Passed	Remaining
566	24538	18739
567	24564	18682
568	24590	18626
569	24625	18577
570	24657	18525
571	24689	18473
572	24718	18420
573	24744	18364
574	24774	18311
575	24797	18253
576	24826	18200
577	24855	18147
578	24881	18091
579	24908	18037
580	24939	17985
581	24963	17928
582	24988	17873
583	25023	17825
584	25048	17769
585	25070	17712
586	25093	17655
587	25120	17601
588	25141	17543
589	25170	17491
590	25188	17431
591	25224	17384
592	25251	17331
593	25282	17280
594	25313	17230
595	25346	17181
596	25376	17130
597	25409	17081
598	25436	17028
599	25464	16976
600	25492	16924
601	25525	16875
602	25554	16824
603	25580	16771
604	25616	16724
605	25662	16684
606	25711	16646
607	25749	16601
608	25782	16553
609	25816	16505
610	25853	16459
611	25898	16419
612	25950	16383
613	25990	16339
614	26059	16313
615	26118	16281
616	26167	16243
617	26218	16206
618	26265	16166
619	26295	16116
620	26325	16066
621	26355	16016
622	26382	15964
623	26413	15916
624	26439	15863
625	26468	15813
626	26503	15766
627	26540	15721
628	26587	15681
629	26629	15639
630	26658	15589
631	26684	15537
632	26713	15487
633	26780	15460
634	26823	15418
635	26888	15388
636	26913	15337
637	26941	15286
638	26980	15242
639	27013	15195
640	27042	15145
641	27065	15092
642	27093	15042
643	27114	14989
644	27142	14938
645	27166	14886
646	27193	14836
647	27218	14785
648	27241	14733
649	27266	14682
650	27300	14635
651	27329	14586
652	27349	14533
653	27373	14481
654	27403	14434
655	27432	14385
656	27450	14331
657	27477	14281
658	27508	14234
659	27533	14183
660	27561	14135
661	27596	14090
662	27638	14048
663	27669	14001
664	27701	13954
665	27734	13908
666	27761	13859
667	27788	13810
668	27810	13759
669	27844	13714
670	27871	13665
671	27896	13616
672	27919	13565
673	27955	13521
674	27977	13470
675	28002	13421
676	28038	13377
677	28086	13339
678	28150	13308
679	28196	13269
680	28225	13221
681	28259	13176
682	28288	13129
683	28320	13083
684	28350	13037
685	28377	12989
686	28407	12942
687	28429	12892
688	28451	12842
689	28482	12796
690	28515	12751
691	28540	12702
692	28564	12653
693	28608	12614
694	28648	12572
695	28681	12527
696	28709	12480
697	28733	12431
698	28754	12382
699	28778	12333
700	28803	12285
701	28836	12241
702	28865	12194
703	28894	12148
704	28917	12100
705	28947	12054
706	28978	12009
707	29007	11963
708	29058	11926
709	29101	11886
710	29142	11845
711	29197	11810
712	29238	11769
713	29279	11728
714	29328	11690
715	29358	11645
716	29386	11598
717	29406	11549
718	29434	11503
719	29468	11459
720	29490	11411
721	29520	11366
722	29549	11321
723	29586	11279
724	29623	11236
725	29657	11192
726	29685	11147
727	29712	11101
728	29735	11053
729	29765	11009
730	29788	10961
731	29818	10917
732	29846	10871
733	29874	10826
734	29906	10782
735	29924	10733
736	29950	10687
737	29974	10641
738	30003	10596
739	30024	10549
740	30051	10503
741	30073	10456
742	30094	10409
743	30119	10363
744	30155	10321
745	30184	10277
746	30203	10229
747	30233	10185
748	30256	10139
749	30281	10093
750	30342	10060
751	30365	10014
752	30422	9979
753	30493	9948
754	30547	9912
755	30610	9879
756	30667	9844
757	30716	9806
758	30745	9762
759	30776	9719
760	30822	9680
761	30861	9639
762	30900	9598
763	30951	9560
764	30999	9522
765	31033	9480
766	31068	9437
767	31103	9395
768	31136	9352
769	31170	9310
770	31196	9266
771	31219	9220
772	31239	9173
773	31264	9128
774	31295	9085
775	31326	9042
776	31351	8997
777	31378	8953
778	31405	8909
779	31431	8865
780	31456	8820
781	31491	8778
782	31537	8740
783	31607	8708
784	31678	8676
785	31781	8652
786	31876	8627
787	31918	8587
788	31970	8549
789	32026	8513
790	32059	8470
791	32094	8428
792	32117	8383
793	32141	8338
794	32163	8293
795	32194	8250
796	32219	8206
797	32248	8163
798	32271	8118
799	32294	8073
800	32325	8030
801	32360	7989
802	32385	7945
803	32412	7901
804	32444	7859
805	32472	7816
806	32499	7772
807	32535	7731
808	32591	7694
809	32627	7653
810	32674	7614
811	32707	7572
812	32761	7535
813	32802	7495
